,0,1,2
0,1VavekOvQD6juFCQS5GrKBLrb4ICSPwZ8,21082342LOCALIZADOR ENTRADA: 71019343,"21082342LOCALIZADOR ENTRADA: 71019343 - 89/100Entrada Individual BonificadaGeneral8.90 €Museo Reina SofíaVálido desde 13/06/2019hasta 13/06/2020- Acceso Expo. Temporales- Acceso ColecciónExento de IVAENTRADAINCLUYEPara reclamaciones y devoluciones diríjase a la agencia o empresa distribuidoraEl Museo Reina Sofía queda exonerado de responsabilidad ante reclamaciones y devoluciones. Haz un uso responsable del papel y recuerda configurar tu impresora para ahorrar tintaImprime tu entrada o guárdala en tu móvilValídala cuando llegues alMuseo Reina SofíaY...¡Disfruta dela visita!123ENTRADASDURANTE LA VISITAConservar este patrimonio es responsabilidad de todos, por favor, no toque las obras.Se pueden realizar fotografías sin flash, sin trípode y sin palo de móvil o cualquier elemento de estabilización de cámaras, excepto en los lugares en los que se indique lo contrario. No está permitido hacer fotografías en toda la sala 206 (Guernica) ni realizar grabación de imágenes.Para garantizar la calidad de la visita de todos los públicos, por favor, modere el tono de voz, utilice el modo silencio para su teléfono y atienda las llamadas fuera de las salas.Por necesidades de conservación de las obras, las salas se mantienen a una temperatura constante de 21ºC. En días cálidos se recomienda hacer la visita con una prenda de abrigo.Los niños deben ir acompañados durante la visita por un adulto. Es importante que los mantengan a su lado e impidan que toquen las obras, levanten la voz y corran por las salas.- Esta entrada incluye la visita a todo el Museo.- Horario de uso: Lunes, miércoles, jueves, viernes y sábados de 10:00 a 19:00h (el acceso de 19:00 a 21:00h es gratuito).Domingos: de 10:00 a 13:30h (el acceso de 14:30 a 19:00 h es gratuito).- Se ruega a los visitantes que desalojen las salas 15 minutos antes del cierre, en todas las sedes.- Para reclamaciones y devoluciones diríjase a la agencia o empresa distribuidora- El Museo Reina Sofía queda exonerado de responsabilidad ante reclamaciones y devoluciones. Más información de interés en: museoreinasofia.es/visitaIMPORTANTEEdificio Sabatini: C/ Santa Isabel, 52Edificio Nouvel: C/ Ronda de Atocha, 1CÓMO LLEGAR"
1,1ilA8TBLEUxmkIo-5C6XmAaQZrLSZNJYB,21082352LOCALIZADOR ENTRADA: 71019498,"21082352LOCALIZADOR ENTRADA: 71019498 - 79/100Entrada Individual BonificadaGeneral8.90 €Museo Reina SofíaVálido desde 13/06/2019hasta 13/06/2020- Acceso Colección- Acceso Expo. TemporalesExento de IVAENTRADAINCLUYEPara reclamaciones y devoluciones diríjase a la agencia o empresa distribuidoraEl Museo Reina Sofía queda exonerado de responsabilidad ante reclamaciones y devoluciones. Haz un uso responsable del papel y recuerda configurar tu impresora para ahorrar tintaImprime tu entrada o guárdala en tu móvilValídala cuando llegues alMuseo Reina SofíaY...¡Disfruta dela visita!123ENTRADASDURANTE LA VISITAConservar este patrimonio es responsabilidad de todos, por favor, no toque las obras.Se pueden realizar fotografías sin flash, sin trípode y sin palo de móvil o cualquier elemento de estabilización de cámaras, excepto en los lugares en los que se indique lo contrario. No está permitido hacer fotografías en toda la sala 206 (Guernica) ni realizar grabación de imágenes.Para garantizar la calidad de la visita de todos los públicos, por favor, modere el tono de voz, utilice el modo silencio para su teléfono y atienda las llamadas fuera de las salas.Por necesidades de conservación de las obras, las salas se mantienen a una temperatura constante de 21ºC. En días cálidos se recomienda hacer la visita con una prenda de abrigo.Los niños deben ir acompañados durante la visita por un adulto. Es importante que los mantengan a su lado e impidan que toquen las obras, levanten la voz y corran por las salas.- Esta entrada incluye la visita a todo el Museo.- Horario de uso: Lunes, miércoles, jueves, viernes y sábados de 10:00 a 19:00h (el acceso de 19:00 a 21:00h es gratuito).Domingos: de 10:00 a 13:30h (el acceso de 14:30 a 19:00 h es gratuito).- Se ruega a los visitantes que desalojen las salas 15 minutos antes del cierre, en todas las sedes.- Para reclamaciones y devoluciones diríjase a la agencia o empresa distribuidora- El Museo Reina Sofía queda exonerado de responsabilidad ante reclamaciones y devoluciones. Más información de interés en: museoreinasofia.es/visitaIMPORTANTEEdificio Sabatini: C/ Santa Isabel, 52Edificio Nouvel: C/ Ronda de Atocha, 1CÓMO LLEGAR"
2,1MqDxf3gAzUvsF3K0ZA8G1vToH3OakYwf,21082342LOCALIZADOR ENTRADA: 71019305,"21082342LOCALIZADOR ENTRADA: 71019305 - 19/100Entrada Individual BonificadaGeneral8.90 €Museo Reina SofíaVálido desde 13/06/2019hasta 13/06/2020- Acceso Expo. Temporales- Acceso ColecciónExento de IVAENTRADAINCLUYEPara reclamaciones y devoluciones diríjase a la agencia o empresa distribuidoraEl Museo Reina Sofía queda exonerado de responsabilidad ante reclamaciones y devoluciones. Haz un uso responsable del papel y recuerda configurar tu impresora para ahorrar tintaImprime tu entrada o guárdala en tu móvilValídala cuando llegues alMuseo Reina SofíaY...¡Disfruta dela visita!123ENTRADASDURANTE LA VISITAConservar este patrimonio es responsabilidad de todos, por favor, no toque las obras.Se pueden realizar fotografías sin flash, sin trípode y sin palo de móvil o cualquier elemento de estabilización de cámaras, excepto en los lugares en los que se indique lo contrario. No está permitido hacer fotografías en toda la sala 206 (Guernica) ni realizar grabación de imágenes.Para garantizar la calidad de la visita de todos los públicos, por favor, modere el tono de voz, utilice el modo silencio para su teléfono y atienda las llamadas fuera de las salas.Por necesidades de conservación de las obras, las salas se mantienen a una temperatura constante de 21ºC. En días cálidos se recomienda hacer la visita con una prenda de abrigo.Los niños deben ir acompañados durante la visita por un adulto. Es importante que los mantengan a su lado e impidan que toquen las obras, levanten la voz y corran por las salas.- Esta entrada incluye la visita a todo el Museo.- Horario de uso: Lunes, miércoles, jueves, viernes y sábados de 10:00 a 19:00h (el acceso de 19:00 a 21:00h es gratuito).Domingos: de 10:00 a 13:30h (el acceso de 14:30 a 19:00 h es gratuito).- Se ruega a los visitantes que desalojen las salas 15 minutos antes del cierre, en todas las sedes.- Para reclamaciones y devoluciones diríjase a la agencia o empresa distribuidora- El Museo Reina Sofía queda exonerado de responsabilidad ante reclamaciones y devoluciones. Más información de interés en: museoreinasofia.es/visitaIMPORTANTEEdificio Sabatini: C/ Santa Isabel, 52Edificio Nouvel: C/ Ronda de Atocha, 1CÓMO LLEGAR"
3,1WD9TjiM7xkjQd2ROynsD6s3CSFTeR4_H,20144935Loc. Entrada: 67529369,20144935
4,18GTc2pyatCFqJlDTSDhzmpt1U2ilMOeG,21082342LOCALIZADOR ENTRADA: 71019326,"21082342LOCALIZADOR ENTRADA: 71019326 - 6/100Entrada Individual BonificadaGeneral8.90 €Museo Reina SofíaVálido desde 13/06/2019hasta 13/06/2020- Acceso Colección- Acceso Expo. TemporalesExento de IVAENTRADAINCLUYEPara reclamaciones y devoluciones diríjase a la agencia o empresa distribuidoraEl Museo Reina Sofía queda exonerado de responsabilidad ante reclamaciones y devoluciones. Haz un uso responsable del papel y recuerda configurar tu impresora para ahorrar tintaImprime tu entrada o guárdala en tu móvilValídala cuando llegues alMuseo Reina SofíaY...¡Disfruta dela visita!123ENTRADASDURANTE LA VISITAConservar este patrimonio es responsabilidad de todos, por favor, no toque las obras.Se pueden realizar fotografías sin flash, sin trípode y sin palo de móvil o cualquier elemento de estabilización de cámaras, excepto en los lugares en los que se indique lo contrario. No está permitido hacer fotografías en toda la sala 206 (Guernica) ni realizar grabación de imágenes.Para garantizar la calidad de la visita de todos los públicos, por favor, modere el tono de voz, utilice el modo silencio para su teléfono y atienda las llamadas fuera de las salas.Por necesidades de conservación de las obras, las salas se mantienen a una temperatura constante de 21ºC. En días cálidos se recomienda hacer la visita con una prenda de abrigo.Los niños deben ir acompañados durante la visita por un adulto. Es importante que los mantengan a su lado e impidan que toquen las obras, levanten la voz y corran por las salas.- Esta entrada incluye la visita a todo el Museo.- Horario de uso: Lunes, miércoles, jueves, viernes y sábados de 10:00 a 19:00h (el acceso de 19:00 a 21:00h es gratuito).Domingos: de 10:00 a 13:30h (el acceso de 14:30 a 19:00 h es gratuito).- Se ruega a los visitantes que desalojen las salas 15 minutos antes del cierre, en todas las sedes.- Para reclamaciones y devoluciones diríjase a la agencia o empresa distribuidora- El Museo Reina Sofía queda exonerado de responsabilidad ante reclamaciones y devoluciones. Más información de interés en: museoreinasofia.es/visitaIMPORTANTEEdificio Sabatini: C/ Santa Isabel, 52Edificio Nouvel: C/ Ronda de Atocha, 1CÓMO LLEGAR"
5,1igxI1Y2zipAH4TGKLfMPXLEG_yfdiHcX,21082352LOCALIZADOR ENTRADA: 71019551,"21082352LOCALIZADOR ENTRADA: 71019551 - 34/100Entrada Individual BonificadaGeneral8.90 €Museo Reina SofíaVálido desde 13/06/2019hasta 13/06/2020- Acceso Expo. Temporales- Acceso ColecciónExento de IVAENTRADAINCLUYEPara reclamaciones y devoluciones diríjase a la agencia o empresa distribuidoraEl Museo Reina Sofía queda exonerado de responsabilidad ante reclamaciones y devoluciones. Haz un uso responsable del papel y recuerda configurar tu impresora para ahorrar tintaImprime tu entrada o guárdala en tu móvilValídala cuando llegues alMuseo Reina SofíaY...¡Disfruta dela visita!123ENTRADASDURANTE LA VISITAConservar este patrimonio es responsabilidad de todos, por favor, no toque las obras.Se pueden realizar fotografías sin flash, sin trípode y sin palo de móvil o cualquier elemento de estabilización de cámaras, excepto en los lugares en los que se indique lo contrario. No está permitido hacer fotografías en toda la sala 206 (Guernica) ni realizar grabación de imágenes.Para garantizar la calidad de la visita de todos los públicos, por favor, modere el tono de voz, utilice el modo silencio para su teléfono y atienda las llamadas fuera de las salas.Por necesidades de conservación de las obras, las salas se mantienen a una temperatura constante de 21ºC. En días cálidos se recomienda hacer la visita con una prenda de abrigo.Los niños deben ir acompañados durante la visita por un adulto. Es importante que los mantengan a su lado e impidan que toquen las obras, levanten la voz y corran por las salas.- Esta entrada incluye la visita a todo el Museo.- Horario de uso: Lunes, miércoles, jueves, viernes y sábados de 10:00 a 19:00h (el acceso de 19:00 a 21:00h es gratuito).Domingos: de 10:00 a 13:30h (el acceso de 14:30 a 19:00 h es gratuito).- Se ruega a los visitantes que desalojen las salas 15 minutos antes del cierre, en todas las sedes.- Para reclamaciones y devoluciones diríjase a la agencia o empresa distribuidora- El Museo Reina Sofía queda exonerado de responsabilidad ante reclamaciones y devoluciones. Más información de interés en: museoreinasofia.es/visitaIMPORTANTEEdificio Sabatini: C/ Santa Isabel, 52Edificio Nouvel: C/ Ronda de Atocha, 1CÓMO LLEGAR"
6,1AM2WAhByIP-f01TsYrMeJl4fYW_HH2ND,21061578LOCALIZADOR ENTRADA: 71016554,"21061578LOCALIZADOR ENTRADA: 71016554 - 18/100Entrada Individual BonificadaGeneral8.90 €Museo Reina SofíaVálido desde 12/06/2019hasta 12/06/2020- Acceso Colección- Acceso Expo. TemporalesExento de IVAENTRADAINCLUYEPara reclamaciones y devoluciones diríjase a la agencia o empresa distribuidoraEl Museo Reina Sofía queda exonerado de responsabilidad ante reclamaciones y devoluciones. Haz un uso responsable del papel y recuerda configurar tu impresora para ahorrar tintaImprime tu entrada o guárdala en tu móvilValídala cuando llegues alMuseo Reina SofíaY...¡Disfruta dela visita!123ENTRADASDURANTE LA VISITAConservar este patrimonio es responsabilidad de todos, por favor, no toque las obras.Se pueden realizar fotografías sin flash, sin trípode y sin palo de móvil o cualquier elemento de estabilización de cámaras, excepto en los lugares en los que se indique lo contrario. No está permitido hacer fotografías en toda la sala 206 (Guernica) ni realizar grabación de imágenes.Para garantizar la calidad de la visita de todos los públicos, por favor, modere el tono de voz, utilice el modo silencio para su teléfono y atienda las llamadas fuera de las salas.Por necesidades de conservación de las obras, las salas se mantienen a una temperatura constante de 21ºC. En días cálidos se recomienda hacer la visita con una prenda de abrigo.Los niños deben ir acompañados durante la visita por un adulto. Es importante que los mantengan a su lado e impidan que toquen las obras, levanten la voz y corran por las salas.- Esta entrada incluye la visita a todo el Museo.- Horario de uso: Lunes, miércoles, jueves, viernes y sábados de 10:00 a 19:00h (el acceso de 19:00 a 21:00h es gratuito).Domingos: de 10:00 a 13:30h (el acceso de 14:30 a 19:00 h es gratuito).- Se ruega a los visitantes que desalojen las salas 15 minutos antes del cierre, en todas las sedes.- Para reclamaciones y devoluciones diríjase a la agencia o empresa distribuidora- El Museo Reina Sofía queda exonerado de responsabilidad ante reclamaciones y devoluciones. Más información de interés en: museoreinasofia.es/visitaIMPORTANTEEdificio Sabatini: C/ Santa Isabel, 52Edificio Nouvel: C/ Ronda de Atocha, 1CÓMO LLEGAR"
7,1o7oKuKTisIEQBNjxEXXEfF1adqGAiFDp,21082342LOCALIZADOR ENTRADA: 71019292,"21082342LOCALIZADOR ENTRADA: 71019292 - 40/100Entrada Individual BonificadaGeneral8.90 €Museo Reina SofíaVálido desde 13/06/2019hasta 13/06/2020- Acceso Expo. Temporales- Acceso ColecciónExento de IVAENTRADAINCLUYEPara reclamaciones y devoluciones diríjase a la agencia o empresa distribuidoraEl Museo Reina Sofía queda exonerado de responsabilidad ante reclamaciones y devoluciones. Haz un uso responsable del papel y recuerda configurar tu impresora para ahorrar tintaImprime tu entrada o guárdala en tu móvilValídala cuando llegues alMuseo Reina SofíaY...¡Disfruta dela visita!123ENTRADASDURANTE LA VISITAConservar este patrimonio es responsabilidad de todos, por favor, no toque las obras.Se pueden realizar fotografías sin flash, sin trípode y sin palo de móvil o cualquier elemento de estabilización de cámaras, excepto en los lugares en los que se indique lo contrario. No está permitido hacer fotografías en toda la sala 206 (Guernica) ni realizar grabación de imágenes.Para garantizar la calidad de la visita de todos los públicos, por favor, modere el tono de voz, utilice el modo silencio para su teléfono y atienda las llamadas fuera de las salas.Por necesidades de conservación de las obras, las salas se mantienen a una temperatura constante de 21ºC. En días cálidos se recomienda hacer la visita con una prenda de abrigo.Los niños deben ir acompañados durante la visita por un adulto. Es importante que los mantengan a su lado e impidan que toquen las obras, levanten la voz y corran por las salas.- Esta entrada incluye la visita a todo el Museo.- Horario de uso: Lunes, miércoles, jueves, viernes y sábados de 10:00 a 19:00h (el acceso de 19:00 a 21:00h es gratuito).Domingos: de 10:00 a 13:30h (el acceso de 14:30 a 19:00 h es gratuito).- Se ruega a los visitantes que desalojen las salas 15 minutos antes del cierre, en todas las sedes.- Para reclamaciones y devoluciones diríjase a la agencia o empresa distribuidora- El Museo Reina Sofía queda exonerado de responsabilidad ante reclamaciones y devoluciones. Más información de interés en: museoreinasofia.es/visitaIMPORTANTEEdificio Sabatini: C/ Santa Isabel, 52Edificio Nouvel: C/ Ronda de Atocha, 1CÓMO LLEGAR"
8,1i48xS6S6jSrpghjtXSI3k853dOPcCVfS,21061573LOCALIZADOR ENTRADA: 71016432,"21061573LOCALIZADOR ENTRADA: 71016432 - 68/100Entrada Individual BonificadaGeneral8.90 €Museo Reina SofíaVálido desde 12/06/2019hasta 12/06/2020- Acceso Expo. Temporales- Acceso ColecciónExento de IVAENTRADAINCLUYEPara reclamaciones y devoluciones diríjase a la agencia o empresa distribuidoraEl Museo Reina Sofía queda exonerado de responsabilidad ante reclamaciones y devoluciones. Haz un uso responsable del papel y recuerda configurar tu impresora para ahorrar tintaImprime tu entrada o guárdala en tu móvilValídala cuando llegues alMuseo Reina SofíaY...¡Disfruta dela visita!123ENTRADASDURANTE LA VISITAConservar este patrimonio es responsabilidad de todos, por favor, no toque las obras.Se pueden realizar fotografías sin flash, sin trípode y sin palo de móvil o cualquier elemento de estabilización de cámaras, excepto en los lugares en los que se indique lo contrario. No está permitido hacer fotografías en toda la sala 206 (Guernica) ni realizar grabación de imágenes.Para garantizar la calidad de la visita de todos los públicos, por favor, modere el tono de voz, utilice el modo silencio para su teléfono y atienda las llamadas fuera de las salas.Por necesidades de conservación de las obras, las salas se mantienen a una temperatura constante de 21ºC. En días cálidos se recomienda hacer la visita con una prenda de abrigo.Los niños deben ir acompañados durante la visita por un adulto. Es importante que los mantengan a su lado e impidan que toquen las obras, levanten la voz y corran por las salas.- Esta entrada incluye la visita a todo el Museo.- Horario de uso: Lunes, miércoles, jueves, viernes y sábados de 10:00 a 19:00h (el acceso de 19:00 a 21:00h es gratuito).Domingos: de 10:00 a 13:30h (el acceso de 14:30 a 19:00 h es gratuito).- Se ruega a los visitantes que desalojen las salas 15 minutos antes del cierre, en todas las sedes.- Para reclamaciones y devoluciones diríjase a la agencia o empresa distribuidora- El Museo Reina Sofía queda exonerado de responsabilidad ante reclamaciones y devoluciones. Más información de interés en: museoreinasofia.es/visitaIMPORTANTEEdificio Sabatini: C/ Santa Isabel, 52Edificio Nouvel: C/ Ronda de Atocha, 1CÓMO LLEGAR"
9,1foftBXbfGg4X0xcCsf33Z5PgiXkXAXo2,20777737LOCALIZADOR ENTRADA: 69910412,"20777737LOCALIZADOR ENTRADA: 69910412 - 76/100Entrada Individual BonificadaGeneral8.90 €Museo Reina SofíaVálido desde 27/05/2019hasta 27/05/2020- Acceso Expo. Temporales- Acceso ColecciónExento de IVAENTRADAINCLUYEPara reclamaciones y devoluciones diríjase a la agencia o empresa distribuidoraEl Museo Reina Sofía queda exonerado de responsabilidad ante reclamaciones y devoluciones. Haz un uso responsable del papel y recuerda configurar tu impresora para ahorrar tintaImprime tu entrada o guárdala en tu móvilValídala cuando llegues alMuseo Reina SofíaY...¡Disfruta dela visita!123ENTRADASDURANTE LA VISITAConservar este patrimonio es responsabilidad de todos, por favor, no toque las obras.Se pueden realizar fotografías sin flash, sin trípode y sin palo de móvil o cualquier elemento de estabilización de cámaras, excepto en los lugares en los que se indique lo contrario. No está permitido hacer fotografías en toda la sala 206 (Guernica) ni realizar grabación de imágenes.Para garantizar la calidad de la visita de todos los públicos, por favor, modere el tono de voz, utilice el modo silencio para su teléfono y atienda las llamadas fuera de las salas.Por necesidades de conservación de las obras, las salas se mantienen a una temperatura constante de 21ºC. En días cálidos se recomienda hacer la visita con una prenda de abrigo.Los niños deben ir acompañados durante la visita por un adulto. Es importante que los mantengan a su lado e impidan que toquen las obras, levanten la voz y corran por las salas.- Esta entrada incluye la visita a todo el Museo.- Horario de uso: Lunes, miércoles, jueves, viernes y sábados de 10:00 a 19:00h (el acceso de 19:00 a 21:00h es gratuito).Domingos: de 10:00 a 13:30h (el acceso de 14:30 a 19:00 h es gratuito).- Se ruega a los visitantes que desalojen las salas 15 minutos antes del cierre, en todas las sedes.- Para reclamaciones y devoluciones diríjase a la agencia o empresa distribuidora- El Museo Reina Sofía queda exonerado de responsabilidad ante reclamaciones y devoluciones. Más información de interés en: museoreinasofia.es/visitaIMPORTANTEEdificio Sabatini: C/ Santa Isabel, 52Edificio Nouvel: C/ Ronda de Atocha, 1CÓMO LLEGAR"
