,0,1,2,3,4,5
0,1462,THIS IS HOLLAND,Date of Booking,https://docs.google.com/spreadsheets/d/1lvSKfr32W-YXNu09Xyqf5pYyR-JNWqaXEA0IwWsSMHw,13082,Yes
1,1730,Bookmywifi,Date of Booking,https://docs.google.com/spreadsheets/d/1fnRn2Dx2dpN3FHRrc3-9Jwtv8bPhWvEPouzh6x2yECA,13083,Yes
2,1985,Istanbul Welcome Card,Date of Delivery,https://docs.google.com/spreadsheets/d/1BUcUghhW_9YYue08idOu7qB0idsnFuPwCFxCgCZKnlc,13084,No
3,2146,Naturanda,Date of Delivery,https://docs.google.com/spreadsheets/d/1OTp76Fi3c4cM_v-7BSQV5ZsKwqZa9sf6BJSq5pwDnuQ,13085,No
4,1393,Julia Travels,Date of Delivery,https://docs.google.com/spreadsheets/d/1h-XzghgGXU2UE5fIvw3HP2VVMphzuQgHGLrHLDRSgi0,13086,No
5,2651,Royal Tours Krakow,Date of Delivery,https://docs.google.com/spreadsheets/d/184jwnfW5lAlU9H669zeYjcwH6KhuURFcas1DeU_uTPI,13087,No
6,1514,Venice City Tours,Date of Delivery,https://docs.google.com/spreadsheets/d/15C-PvkOyX2DxYlKMdlAOXMs0mbkIodnAHpcoE-1Dczo,13089,No
7,2773,Air Service Berlin CFH GmbH,Date of Delivery,https://docs.google.com/spreadsheets/d/1jzARwYz0sep-wPKJzDO8X9G7ywxgXrlIS36Ro7QNs4g,13090,No
8,2164,Istanbul Tourist Pass,Date of Delivery,https://docs.google.com/spreadsheets/d/1vgn3v4Nm500HUAybd8NooVqG0llhbgXWmQA79NaBcTk,13091,No
9,1860,KrakowBooking,Date of Delivery,https://docs.google.com/spreadsheets/d/1WQm4DN2EADqXtSXTbtWeHcvZh48lM1itmDZKm3QovNI,13092,No
10,1692,Oway Tours,Date of Delivery,https://docs.google.com/spreadsheets/d/1qNH93Y5fz3RotIXU5hy_RSvTs-YO3kw9Ubs2vALQj-I,13094,No
11,2103,C Way,Date of Delivery,https://docs.google.com/spreadsheets/d/1TP3JYjxMBhG2DIDkcx1VdjkFG5CJTFbSRHLJMriPJAM,13095,No
12,1806,Tours About,Date of Delivery,https://docs.google.com/spreadsheets/d/1HBj4aB_co-WW4H311WJ30G2aVqmAaTNyStU6yigqaqc,13096,No
13,1986,Bosphorus Tour,Date of Delivery,https://docs.google.com/spreadsheets/d/1q8ptwgEfIP3XT7b9d96am39AeLU699-fd86SN0OclYg,13097,No
14,2657,Carpe Diem Rome,Date of Delivery,https://docs.google.com/spreadsheets/d/1NxUxreMiHEdDErCznOV_19okAmV1UXnwOqFd8yXGj7I,13098,No
15,1855,Touristation,Date of Delivery,https://docs.google.com/spreadsheets/d/1cC5bkyLY2THr4utoWX8FhbkYJ1sk4N82hcISQ_hcjE8,13099,No
16,1524,Carrani Tours,Date of Delivery,https://docs.google.com/spreadsheets/d/1xc65kKoKWAxvCRX08FnmzbbBny-P8Kg5HKJ1JVjfoQA,13100,No
17,1996,Cityrama - Grayline Portugal,Date of Delivery,https://docs.google.com/spreadsheets/d/19YneXEmF3clnGyyUwG5KL0qQV1szrNVzSfQy42lUDvI,13101,No
18,2119,Super Cracow,Date of Delivery,https://docs.google.com/spreadsheets/d/1w_3cjS4c10K5-ipGQOVSK__nl62AqhmBMDW-8AeudOo,13102,No
19,1851,Anera Travel,Date of Delivery,https://docs.google.com/spreadsheets/d/1wjOeyDC2MwJFuB_3uNQ3HWwD-EBSrA2NEpCrMfHOM30,13103,No
20,213,Lido de Paris,Date of Delivery,https://docs.google.com/spreadsheets/d/1WcNP97Dlnr77ooLJM6pGlLl4aWtGxcUJnDfeztHOOBA,13104,No
21,1883,Amigo Tours Spain,Date of Delivery,https://docs.google.com/spreadsheets/d/1EMBflBEiqPADSkZ6oBpxQvznXOP_hfuZsZmFUhsf840,13105,No
22,2571,Genius srl,Date of Delivery,https://docs.google.com/spreadsheets/d/1D2d6iIqFPqYUAV6MYjRXGm_eRcU631B9TX5M1Rao78Q,13106,No
23,2624,Bushwacker Eco Tours,Date of Delivery,https://docs.google.com/spreadsheets/d/1NSHZB5zMrLl0mF6lXYnjB2y1q8DwlvL_FAIJ36ZQJWE,13107,No
24,1778,ExperienceFirst,Date of Delivery,https://docs.google.com/spreadsheets/d/1slynMgvq8HAzyITSR6krXfe1qPdoL4HbLfBis0gq8O0,13108,No
25,2602,Sights of Athens,Date of Delivery,https://docs.google.com/spreadsheets/d/1R9HzDOyZrjGhx0WkojNE5sa422ND56C6H922rvfwwYM,13109,No
26,214,HB Group,Date of Delivery,https://docs.google.com/spreadsheets/d/1tMeI8mnaOEHusM3ICxKrlHqEUmlcVoWeEwwm4fYsclQ,13110,No
27,1414,LINDBERGH TOURS,Date of Delivery,https://docs.google.com/spreadsheets/d/1KTMB3d4oGbRDt84inePjoqJTTpAqaBo5mWVGosc-92o,13111,No
28,1395,My Tours,Date of Delivery,https://docs.google.com/spreadsheets/d/1fsYX7rYZ7vEdxUVcrJRRAeJ5GJOSktGTfcxD0lDA4M8,13112,No
29,2232,Eastern European Experience,Date of Delivery,https://docs.google.com/spreadsheets/d/1s5iDhnbKEdiTab3jF4aQgF42wOZ370ZvAGoAhSMu1Us,13113,No
30,2167,VoX SpA,Date of Delivery,https://docs.google.com/spreadsheets/d/1Z5cvOlCCKwdxQwfV9vme_sOL2Klc8hz8pweJdctmFFw,13114,No
31,2200,Jungfraubahnen Management AG,Date of Delivery,https://docs.google.com/spreadsheets/d/1VPwJozxJ2UJNc0v8fBVPJmjBcWOhjjO7ScE8olMTw3Y,13115,No
32,2702,Flagship Amsterdam,Date of Delivery,https://docs.google.com/spreadsheets/d/167u530N63hV05Q-rkjsySia2jsyCOzeQBuelvJ4lkOc,13116,No
33,1994,Inside Lisbon,Date of Delivery,https://docs.google.com/spreadsheets/d/1O5Wp2G1_wrwv2eAsOHwkcVpV9DbSfSJttt7NI8jZik8,13117,No
34,1617,Caf Tour & Travel,Date of Delivery,https://docs.google.com/spreadsheets/d/1JtSum60BXWHtM_Ysy6MiMLKiA64dGa3ejxyjHqQ5LFE,13118,No
35,1526,SIT Shuttle,Date of Booking,https://docs.google.com/spreadsheets/d/1F650ZTsG_ANdyLHdgSjkkmW8gO83PHxcls8ghmPRGrw,13120,Yes
36,1540,Prague Boats,Date of Booking,https://docs.google.com/spreadsheets/d/1K3zABdtKqhnsiUVXfFi59WiQLtAnHz4Cvy1W8OJn7Rs,13121,Yes
37,1392,360 Amsterdam,Date of Booking,https://docs.google.com/spreadsheets/d/1FiU6HXEllu9qDkaT4Det6Uc8jAi2Hxiy-9i8TaFej5U,13122,Yes
38,1633,IBE Tours,Date of Delivery,https://docs.google.com/spreadsheets/d/1b95zX4RwPTzeMa_1NYCaVqL8tkJ_PQtTzhzvwwToEPE,13123,No
39,1415,911 Memorial,Date of Booking,https://docs.google.com/spreadsheets/d/1P5n3J9UfvWdU5pMIapa7xHT15uypowWxdUcTzBfqwb4,13124,Yes
40,210,Blue Boat Amsterdam,Date of Booking,https://docs.google.com/spreadsheets/d/1napgPfZNc3nS6wpSMWdoe417WyqyRO8ayf0JeFRPKOc,13125,Yes
41,231,Silverline Cruises,Date of Booking,https://docs.google.com/spreadsheets/d/11Oe0E43fQLRFpgNrKXTNB71T8xSTnJOSrcOOxZWESfk,13126,No
42,2751,Moco Museum Barcelona S.L.,Date of Booking,https://docs.google.com/spreadsheets/d/1kaI3GNYTIkMnwEDUEcmxp8csYDuGf2-WBQ5qPHPh_fo,13127,No
43,2737,Irukandji Shark & Ray Encounters,Date of Booking,https://docs.google.com/spreadsheets/d/1GwtjmDsoSv-NOA2dADsmgMj_LJFfQpXsdG7KzStqLqM,13128,No
44,1520,Bateaux Parisiens,Date of Delivery,https://docs.google.com/spreadsheets/d/1MQVBGXASso1F_oCGtL20mfWsaYRGMDqWBhONesK1pkw,13129,No
45,1645,Royal Collection Trust,Date of Delivery,https://docs.google.com/spreadsheets/d/1gAyCJietrIzD2iBkkj5yyHUlKCNVqrn1dNVoDFWpZRs,13130,No
46,1864,NHUE Experience Bank,Date of Delivery,https://docs.google.com/spreadsheets/d/1WbOfopKex5Ry8UjQJ-RGJnCXqkJiEsy3IlzSc9cCSBM,13131,No
47,1679,Veneranda Fabbrica del Duomo,Date of Delivery,https://docs.google.com/spreadsheets/d/1MuDC3X8kEkyONrvWVQwlch3hzAWL1PfAJ8c8wMS3DfA,13132,No
48,2211,Reederei Abicht,Date of Delivery,https://docs.google.com/spreadsheets/d/1XQwaqVDb3uViNcN2hhtH2Cl9BI05kX5LvlIOEDPKJgw,13133,No
49,1170,error,"{""error"": ""RecordInvalid"", ""description"": ""Record validation errors"", ""details"": {""email"": [{""description"": ""Email: c.soriano@magicways.fr is already being used by another user"", ""error"": ""DuplicateValue""}]}}",,,
50,1884,Andalucia Experiences,Date of Delivery,https://docs.google.com/spreadsheets/d/1TAjC8VgsDZN2WCQiy_SdOMXYRIXdgfIX9t5yoyh5nj8,13134,No
51,1517,CITY RAMA Hungary,Date of Delivery,https://docs.google.com/spreadsheets/d/1sEZrOKs5E23FEaEt_XfLhpsaW2Yzzg2cT0W7gD2jAuY,13135,No
52,1813,Italy Pass,Date of Delivery,https://docs.google.com/spreadsheets/d/1EnUwIIFiKSoRPhRpYIQ9GOT6137jpJlcEaVVpVYbT_c,13136,No
53,2787,Holland Ticket Services,Date of Delivery,https://docs.google.com/spreadsheets/d/12RBTswJ3mHsNH8cKv8jrApwHVWwqZKZ4sYft3brBQ4s,13138,No
54,1987,Clio Muse,Date of Delivery,https://docs.google.com/spreadsheets/d/1TfzRYVOOFwthjUyyqVKLdhpr2pUu1I_6BqjAO0m-QXE,13139,No
55,1842,PrioMarket,Date of Delivery,https://docs.google.com/spreadsheets/d/1OK-7VnMnJZcTBkJU6r7-0AHtDhA_huCaIS5W6207iUg,13140,No
